#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
186129|1977-12-31T19:57:48|-4.7507|133.4117|34.0|ISC|ISC|ISC|689728|mb|4.6|NEIS|IRIAN JAYA REGION, INDONESIA
186095|1977-12-31T15:43:01|8.514|126.0746|63.0|ISC|ISC|ISC|689721|mb|5.1|NEIS|MINDANAO, PHILIPPINES
186081|1977-12-31T11:52:56|8.4802|126.0005|55.8|ISC|ISC|ISC|689718|mb|5.0|ISC|MINDANAO, PHILIPPINES
186076|1977-12-31T11:40:41|8.5417|125.961|50.8|ISC|ISC|ISC|689717|mb|5.3|NEIS|MINDANAO, PHILIPPINES
186030|1977-12-31T05:02:39|8.6202|126.1164|33.0|ISC|ISC|ISC|689708|mb|5.0|ISC|MINDANAO, PHILIPPINES
186000|1977-12-31T00:56:33|8.5517|126.1397|43.8|ISC|ISC|ISC|689702|mb|5.2|NEIS|MINDANAO, PHILIPPINES
185973|1977-12-30T22:44:36|8.4346|125.8269|53.9|ISC|ISC|ISC|689697|mb|4.6|NEIS|MINDANAO, PHILIPPINES
185709|1977-12-29T11:55:36|8.6014|126.1295|61.2|ISC|ISC|ISC|689644|mb|5.3|NEIS|MINDANAO, PHILIPPINES
185670|1977-12-29T08:23:44|-7.2517|129.2512|184.6|ISC|ISC|ISC|689636|mb|5.3|NEIS|BANDA SEA
185614|1977-12-29T01:36:52|8.5958|126.0837|38.7|ISC|ISC|ISC|689625|mb|5.3|NEIS|MINDANAO, PHILIPPINES
185598|1977-12-28T23:13:13|-5.965|130.1964|86.2|ISC|ISC|ISC|689622|mb|5.3|NEIS|BANDA SEA
185480|1977-12-28T06:44:36|8.5351|126.1655|51.0|ISC|ISC|ISC|689599|mb|4.9|NEIS|MINDANAO, PHILIPPINES
185243|1977-12-26T21:51:42|7.3757|94.6818|33.0|ISC|ISC|ISC|689552|mb|4.5|ISC|NICOBAR ISLANDS, INDIA REGION
185143|1977-12-26T06:44:54|2.5354|126.8406|61.0|ISC|ISC|ISC|689532|mb|5.5|NEIS|NORTHERN MOLUCCA SEA
184997|1977-12-25T08:23:23|-7.3237|128.6976|113.1|ISC|ISC|ISC|689505|mb|5.4|NEIS|BANDA SEA
184852|1977-12-24T09:50:23|-5.4298|129.6862|231.3|ISC|ISC|ISC|689475|mb|5.0|NEIS|BANDA SEA
184627|1977-12-23T10:56:23|6.559|123.7598|34.5|ISC|ISC|ISC|689431|mb|5.4|NEIS|MINDANAO, PHILIPPINES
184616|1977-12-23T10:25:15|-10.516|117.9391|33.0|ISC|ISC|ISC|689429|mb|4.9|NEIS|SOUTH OF SUMBAWA, INDONESIA
184484|1977-12-22T18:13:09|-8.3595|117.6342|55.7|ISC|ISC|ISC|689404|mb|5.1|NEIS|SUMBAWA REGION, INDONESIA
184407|1977-12-22T12:24:14|-1.1573|126.6763|39.6|ISC|ISC|ISC|689388|mb|5.2|NEIS|SOUTHERN MOLUCCA SEA
184304|1977-12-21T21:15:04|-0.9725|126.7729|58.9|ISC|ISC|ISC|689365|mb|5.6|NEIS|SOUTHERN MOLUCCA SEA
184265|1977-12-21T18:06:14|-0.8719|126.8329|50.9|ISC|ISC|ISC|689357|mb|5.4|NEIS|SOUTHERN MOLUCCA SEA
184253|1977-12-21T16:52:54|-8.479|123.5491|146.7|ISC|ISC|ISC|689354|mb|4.7|NEIS|FLORES REGION, INDONESIA
184018|1977-12-20T13:44:43|-9.2895|124.8879|40.4|ISC|ISC|ISC|689314|mb|4.6|NEIS|TIMOR REGION
