time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1993-12-16T19:38:48.510Z,6.536,125.891,147.4,4.7,mb,,,,0.8,us,usp000657f,2014-11-07T00:54:36.196Z,"Mindanao, Philippines",earthquake,,4.5,,7,reviewed,us,us
1993-12-16T12:17:21.890Z,3.774,127.888,96.9,5,mb,,,,0.8,us,usp0006571,2014-11-07T00:54:36.131Z,"Kepulauan Talaud, Indonesia",earthquake,,8.2,,23,reviewed,us,us
1993-12-16T03:12:13.430Z,4.06,126.682,91.5,5,mb,,,,1.3,us,usp000656j,2014-11-07T00:54:36.076Z,"Kepulauan Talaud, Indonesia",earthquake,,9.7,,18,reviewed,us,us
1993-12-16T03:12:01.240Z,-9.183,127.618,33,5,mb,,,,1.3,us,usp000656h,2014-11-07T00:54:36.073Z,"Timor Sea",earthquake,,,,8,reviewed,us,us
1993-12-16T01:05:32.780Z,-0.872,124.177,91.6,4.8,mb,,,,1,us,usp000656d,2014-11-07T00:54:36.063Z,"Molucca Sea",earthquake,,16.3,,8,reviewed,us,us
1993-12-15T20:17:41.460Z,0.513,126.01,30.7,5,mb,,,,1,us,usp0006561,2014-11-07T00:54:36.009Z,"Molucca Sea",earthquake,,,,20,reviewed,us,us
1993-12-15T00:23:26.770Z,0.463,126.211,45.4,5.1,mb,,,,1.4,us,usp0006555,2014-11-07T00:54:35.937Z,"Molucca Sea",earthquake,,,,23,reviewed,us,us
1993-12-14T21:41:51.140Z,0.504,126.271,33,4.9,mb,,,,1.2,us,usp0006552,2014-11-07T00:54:35.919Z,"Molucca Sea",earthquake,,,,10,reviewed,us,us
1993-12-14T20:09:36.580Z,-12.232,120.037,33,4.3,mb,,,,1.5,us,usp0006550,2014-11-07T00:54:35.900Z,"south of Sumba, Indonesia",earthquake,,,,2,reviewed,us,us
1993-12-14T10:10:01.860Z,1.773,97.089,33,4.8,mb,,,,0.9,us,usp000654j,2014-11-07T00:54:35.867Z,"Nias region, Indonesia",earthquake,,,,8,reviewed,us,us
1993-12-14T08:47:42.980Z,4.839,127.628,87,4.9,mb,,,,0.8,us,usp000654g,2014-11-07T00:54:35.863Z,"Kepulauan Talaud, Indonesia",earthquake,,8.5,,9,reviewed,us,us
1993-12-14T07:21:56.890Z,9.941,126.386,38.3,5.1,ms,,,,1.2,us,usp000654a,2014-11-07T00:54:35.840Z,"Mindanao, Philippines",earthquake,,,,3,reviewed,us,us
1993-12-13T17:13:40.890Z,0.491,126.292,16.2,5.1,mb,,,,1.3,us,usp0006531,2014-11-07T00:54:35.699Z,"Molucca Sea",earthquake,,,,23,reviewed,us,us
1993-12-13T16:27:47.600Z,0.483,126.1,33,5.4,mw,,,,1.1,us,usp000652x,2016-11-10T00:11:54.799Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
1993-12-13T09:24:17.750Z,9.803,126.46,33,4.7,mb,,,,1.5,us,usp000652q,2014-11-07T00:54:35.641Z,"Mindanao, Philippines",earthquake,,,,2,reviewed,us,us
1993-12-13T08:46:44.930Z,9.914,126.525,33,4.8,mb,,,,1.2,us,usp000652m,2014-11-07T00:54:35.631Z,"Mindanao, Philippines",earthquake,,,,11,reviewed,us,us
1993-12-13T01:12:33.610Z,3.57,96.593,128.3,4.5,mb,,,,1.2,us,usp000652d,2014-11-07T00:54:35.617Z,"northern Sumatra, Indonesia",earthquake,,29.7,,7,reviewed,us,us
1993-12-12T19:17:31.550Z,0.071,125.744,33,4.8,mb,,,,1.3,us,usp0006522,2014-11-07T00:54:35.573Z,"Molucca Sea",earthquake,,,,6,reviewed,us,us
1993-12-12T18:26:28.690Z,0.344,125.925,33,5.9,mw,,,,1,us,usp000651z,2016-11-10T00:11:24.863Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
1993-12-12T17:03:19.340Z,0.317,125.939,23,5.9,mwb,,,,1.1,us,usp000651v,2016-11-10T00:11:24.348Z,"Molucca Sea",earthquake,,,,,reviewed,us,us
1993-12-12T15:33:34.060Z,-4.152,135.007,33,4.9,mb,,,,1.3,us,usp000651s,2014-11-07T00:54:35.477Z,"near the south coast of Papua, Indonesia",earthquake,,,,12,reviewed,us,us
1993-12-12T12:17:54.600Z,0.684,100.344,217.3,4.6,mb,,,,0.7,us,usp000651e,2014-11-07T00:54:35.422Z,"northern Sumatra, Indonesia",earthquake,,8.3,,6,reviewed,us,us
1993-12-11T18:03:46.670Z,-8.097,123.446,134.8,4.9,mb,,,,0.8,us,usp0006506,2014-11-07T00:54:35.283Z,"Flores region, Indonesia",earthquake,,17,,12,reviewed,us,us
1993-12-11T17:53:15.200Z,-2.132,134.239,33,4.4,mb,,,,1.1,us,usp0006505,2014-11-07T00:54:35.281Z,"near the north coast of Papua, Indonesia",earthquake,,,,3,reviewed,us,us
1993-12-11T14:45:39.960Z,0.331,126.061,33,5,mb,,,,1.4,us,usp00064zy,2014-11-07T00:54:35.263Z,"Molucca Sea",earthquake,,,,10,reviewed,us,us
1993-12-11T09:26:27.150Z,-8.401,120.203,161.7,4.3,mb,,,,0.2,us,usp00064zf,2014-11-07T00:54:35.217Z,"Flores region, Indonesia",earthquake,,39.8,,3,reviewed,us,us
1993-12-11T08:47:25.230Z,6.52,126.9,28.1,5,mb,,,,1.3,us,usp00064zd,2014-11-07T00:54:35.203Z,"Mindanao, Philippines",earthquake,,,,34,reviewed,us,us
1993-12-11T03:13:56.460Z,0.576,126.049,80.4,4.9,mb,,,,1.1,us,usp00064z6,2014-11-07T00:54:35.190Z,"Molucca Sea",earthquake,,21.3,,1,reviewed,us,us
1993-12-11T01:59:44.030Z,2.378,128.378,23.4,4.7,mb,,,,0.9,us,usp00064z3,2014-11-07T00:54:35.177Z,"Halmahera, Indonesia",earthquake,,,,10,reviewed,us,us
1993-12-10T22:21:16.670Z,0.517,125.863,27.7,5.3,mb,,,,1,us,usp00064yq,2014-11-07T00:54:35.114Z,"Molucca Sea",earthquake,,,,37,reviewed,us,us
1993-12-10T21:16:26.260Z,0.422,125.581,73.6,4.7,mb,,,,1.1,us,usp00064yn,2014-11-07T00:54:35.110Z,"Molucca Sea",earthquake,,22.2,,8,reviewed,us,us
1993-12-10T18:44:25.640Z,0.411,125.916,33,4.9,mb,,,,1.1,us,usp00064yh,2014-11-07T00:54:35.080Z,"Molucca Sea",earthquake,,,,9,reviewed,us,us
1993-12-10T15:08:12.020Z,0.317,125.865,33,4.7,mb,,,,1,us,usp00064ye,2014-11-07T00:54:35.073Z,"Molucca Sea",earthquake,,,,7,reviewed,us,us
1993-12-10T13:10:47.830Z,0.411,125.796,33,4.8,mb,,,,1.3,us,usp00064y7,2014-11-07T00:54:35.052Z,"Molucca Sea",earthquake,,,,9,reviewed,us,us
1993-12-10T07:33:41.260Z,0.222,125.594,26.3,5,mb,,,,0.6,us,usp00064xu,2014-11-07T00:54:34.950Z,"Molucca Sea",earthquake,,,,10,reviewed,us,us
