#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
2899427|1980-12-30T15:48:35|0.0656|97.2089|11.2|ISC|ISC|ISC|634728|mb|5.1|NEIS|NORTHERN SUMATRA, INDONESIA
2899251|1980-12-29T22:07:55|-11.2762|119.2794|33.0|ISC|ISC|ISC|634698|mb|4.9|NEIS|SOUTH OF SUMBA, INDONESIA
2899145|1980-12-29T11:23:09|-9.2018|123.9553|33.0|ISC|ISC|ISC|634681|mb|4.7|NEIS|TIMOR REGION
2898850|1980-12-28T01:16:44|1.4213|97.1646|40.1|ISC|ISC|ISC|634626|mb|4.3|ISC|NORTHERN SUMATRA, INDONESIA
2898832|1980-12-27T22:59:51|-0.262|99.0998|53.4|ISC|ISC|ISC|634623|mb|4.9|NEIS|SOUTHERN SUMATRA, INDONESIA
2898798|1980-12-27T21:35:29|-8.2242|119.739|166.1|ISC|ISC|ISC|634618|mb|4.8|NEIS|FLORES REGION, INDONESIA
2898780|1980-12-27T20:02:37|8.3788|126.1235|33.0|ISC|ISC|ISC|634615|mb|4.6|NEIS|MINDANAO, PHILIPPINES
2898468|1980-12-26T15:05:39|-5.4078|133.8988|33.0|ISC|ISC|ISC|634564|mb|4.8|NEIS|ARU ISLANDS REGION, INDONESIA
2898327|1980-12-26T01:58:40|-5.8381|129.6078|192.0|ISC|ISC|ISC|634541|mb|4.8|NEIS|BANDA SEA
2898131|1980-12-25T09:38:50|4.0319|126.553|33.0|ISC|ISC|ISC|634508|mb|5.1|NEIS|TALAUD ISLANDS, INDONESIA
2898058|1980-12-24T23:55:04|-9.117|112.0072|47.7|ISC|ISC|ISC|634492|mb|5.6|NEIS|SOUTH OF JAVA, INDONESIA
2897287|1980-12-22T02:04:38|-0.68|119.7187|48.7|ISC|ISC|ISC|634351|mb|4.9|NEIS|MINAHASSA PENINSULA, SULAWESI
2896872|1980-12-20T14:50:28|-1.0218|138.5902|8.3|ISC|ISC|ISC|634289|mb|5.5|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2896753|1980-12-20T10:06:37|-11.108|119.2792|33.0|ISC|ISC|ISC|634280|mb|4.0|NEIS|SOUTH OF SUMBA, INDONESIA
2896601|1980-12-19T19:40:39|3.9928|126.2731|105.0|ISC|ISC|ISC|634254|mb|4.9|NEIS|TALAUD ISLANDS, INDONESIA
2896557|1980-12-19T15:47:39|9.9213|126.0541|75.7|ISC|ISC|ISC|634247|mb|5.0|NEIS|MINDANAO, PHILIPPINES
2896552|1980-12-19T15:41:44|9.7266|126.5875|50.1|ISC|ISC|ISC|634246|mb|5.1|NEIS|MINDANAO, PHILIPPINES
2896545|1980-12-19T15:39:15|9.9332|126.443|35.2|ISC|ISC|ISC|634245|mb|4.1|NEIS|MINDANAO, PHILIPPINES
2896519|1980-12-19T13:13:55|0.0036|123.6918|170.3|ISC|ISC|ISC|634241|mb|3.9|NEIS|MINAHASSA PENINSULA, SULAWESI
2896210|1980-12-18T13:53:28|9.8407|126.1991|51.6|ISC|ISC|ISC|634197|mb|4.8|NEIS|MINDANAO, PHILIPPINES
2895940|1980-12-17T11:41:45|8.013|126.2313|38.4|ISC|ISC|ISC|634152|mb|5.3|NEIS|MINDANAO, PHILIPPINES
2895740|1980-12-16T18:33:36|-3.2479|130.0412|33.0|ISC|ISC|ISC|634115|mb|4.9|NEIS|SERAM, INDONESIA
2895719|1980-12-16T16:01:54|5.7129|126.7704|94.0|ISC|ISC|ISC|634111|mb|3.5|NEIS|MINDANAO, PHILIPPINES
2895712|1980-12-16T14:08:02|-1.8764|124.2354|96.1|ISC|ISC|ISC|634109|mb|4.4|NEIS|SOUTHERN MOLUCCA SEA
2895547|1980-12-15T19:52:46|5.3726|126.4672|70.1|ISC|ISC|ISC|634083|mb|4.8|NEIS|MINDANAO, PHILIPPINES
2895226|1980-12-14T12:40:29|9.9881|126.2325|60.5|ISC|ISC|ISC|634026|mb|5.0|NEIS|MINDANAO, PHILIPPINES
2895169|1980-12-14T09:35:21|-5.8242|102.4258|61.8|ISC|ISC|ISC|634019|mb|4.5|ISC|SOUTHERN SUMATRA, INDONESIA
2895023|1980-12-14T01:29:46|-1.9415|139.2006|33.0|ISC|ISC|ISC|633993|mb|4.6|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2894966|1980-12-13T18:08:56|-4.3356|142.3646|111.9|ISC|ISC|ISC|633981|mb|4.6|NEIS|NEW GUINEA, PAPUA NEW GUINEA
2894875|1980-12-13T13:31:57|-1.9978|128.0097|62.1|ISC|ISC|ISC|633975|mb|4.9|NEIS|HALMAHERA, INDONESIA
2894796|1980-12-13T04:52:06|6.7186|123.8434|39.2|ISC|ISC|ISC|633959|mb|4.9|NEIS|MINDANAO, PHILIPPINES
2894704|1980-12-12T21:07:25|6.7048|123.8922|58.4|ISC|ISC|ISC|633943|mb|5.4|NEIS|MINDANAO, PHILIPPINES
2894157|1980-12-11T10:05:43|2.0014|117.779|77.9|ISC|ISC|ISC|633853|mb|4.3|ISC|BORNEO
2893901|1980-12-09T23:41:06|0.3997|122.4403|170.2|ISC|ISC|ISC|633803|mb|4.3|NEIS|MINAHASSA PENINSULA, SULAWESI
2893837|1980-12-09T15:18:52|-10.5063|124.0978|17.3|ISC|ISC|ISC|633792|mb|4.5|NEIS|TIMOR REGION
2893763|1980-12-09T06:35:18|-4.3194|102.0944|70.6|ISC|ISC|ISC|633779|mb|4.9|NEIS|SOUTHERN SUMATRA, INDONESIA
2893613|1980-12-08T19:00:31|9.2305|123.7942|65.2|ISC|ISC|ISC|633757|mb|4.1|ISC|NEGROS, PHILIPPINES
2893456|1980-12-08T05:30:51|5.9418|124.9565|57.7|ISC|ISC|ISC|633732|mb|4.9|NEIS|MINDANAO, PHILIPPINES
2893271|1980-12-07T15:27:09|0.1962|123.92|182.0|ISC|ISC|ISC|633708|mb|4.7|NEIS|MINAHASSA PENINSULA, SULAWESI
2893185|1980-12-07T07:55:50|-1.5912|138.4875|0.0|ISC|ISC|ISC|633695|mb|5.0|ISC|NEAR NORTH COAST OF IRIAN JAYA
2893037|1980-12-06T17:03:38|-7.4849|119.0533|57.7|ISC|ISC|ISC|633667|mb|4.3|NEIS|FLORES SEA
2892887|1980-12-06T04:24:42|0.6738|125.9524|67.5|ISC|ISC|ISC|633638|mb|4.6|NEIS|NORTHERN MOLUCCA SEA
2892848|1980-12-05T22:54:12|-0.235|129.5852|48.7|ISC|ISC|ISC|633633|mb|4.9|NEIS|HALMAHERA, INDONESIA
2892788|1980-12-05T12:16:47|1.011|98.5946|33.0|ISC|ISC|ISC|633624|mb|4.1|ISC|NORTHERN SUMATRA, INDONESIA
2891882|1980-12-02T11:52:02|0.6195|125.7953|72.0|ISC|ISC|ISC|633503|mb|4.7|ISC|NORTHERN MOLUCCA SEA
2891782|1980-12-02T02:34:00|6.1564|126.8707|91.9|ISC|ISC|ISC|633486|mb|5.1|NEIS|MINDANAO, PHILIPPINES
2891632|1980-12-01T19:29:55|-0.076|123.0045|216.3|ISC|ISC|ISC|633470|mb|4.9|NEIS|MINAHASSA PENINSULA, SULAWESI
2900224|1980-11-30T21:44:13|-5.2736|101.3805|33.0|ISC|ISC|ISC|636405|mb|5.1|NEIS|SOUTHWEST OF SUMATRA, INDONESIA
2900185|1980-11-30T14:37:46|5.4866|127.0363|33.0|ISC|ISC|ISC|636393|mb|3.9|ISC|PHILIPPINE ISLANDS REGION
2900175|1980-11-30T10:58:41|-5.4978|129.6013|220.3|ISC|ISC|ISC|636390|mb|4.7|NEIS|BANDA SEA
2900168|1980-11-30T10:12:25|-5.3065|101.1739|28.2|ISC|ISC|ISC|636388|mb|4.9|NEIS|SOUTHWEST OF SUMATRA, INDONESIA
2900119|1980-11-30T04:55:23|2.5916|127.8571|64.4|ISC|ISC|ISC|636372|mb|4.3|NEIS|NORTHERN MOLUCCA SEA
2900107|1980-11-30T02:44:52|-5.4482|102.8732|39.2|ISC|ISC|ISC|636369|mb|5.4|NEIS|SOUTHERN SUMATRA, INDONESIA
2899960|1980-11-29T09:05:42|3.8732|127.8015|91.8|ISC|ISC|ISC|636324|mb|5.0|NEIS|TALAUD ISLANDS, INDONESIA
2899914|1980-11-29T05:42:23|-7.0521|130.0434|204.9|ISC|ISC|ISC|636308|mb|4.5|ISC|TANIMBAR ISLANDS REG., INDONESIA
2899866|1980-11-29T01:26:10|1.1865|126.2839|62.8|ISC|ISC|ISC|636292|mb|4.9|NEIS|NORTHERN MOLUCCA SEA
2899857|1980-11-29T00:28:42|0.4009|124.596|125.8|ISC|ISC|ISC|636290|mb|5.1|NEIS|MINAHASSA PENINSULA, SULAWESI
2899772|1980-11-28T08:50:28|-3.398|130.2775|46.5|ISC|ISC|ISC|636265|mb|3.9|NEIS|SERAM, INDONESIA
2899729|1980-11-28T01:38:56|5.9991|126.1788|33.0|ISC|ISC|ISC|636251|mb|3.4|ISC|MINDANAO, PHILIPPINES
2899695|1980-11-27T22:19:18|-7.0473|129.4615|162.7|ISC|ISC|ISC|636241|mb|4.4|NEIS|BANDA SEA
2899677|1980-11-27T17:58:53|-10.8103|115.0955|33.0|ISC|ISC|ISC|636236|mb|4.4|NEIS|SOUTH OF BALI, INDONESIA
2899556|1980-11-27T03:12:48|1.7496|121.2897|221.4|ISC|ISC|ISC|636205|mb|4.6|NEIS|MINAHASSA PENINSULA, SULAWESI
2899349|1980-11-26T12:17:18|8.5741|126.2843|109.8|ISC|ISC|ISC|636172|mb|4.2|ISC|MINDANAO, PHILIPPINES
2899290|1980-11-26T09:41:08|-6.119|130.2451|33.0|ISC|ISC|ISC|636161|mb|4.6|NEIS|BANDA SEA
2899286|1980-11-26T09:25:33|2.7292|128.5173|240.2|ISC|ISC|ISC|636160|mb|5.0|NEIS|HALMAHERA, INDONESIA
2899048|1980-11-25T22:54:01|-2.3828|140.2385|23.6|ISC|ISC|ISC|636126|mb|4.8|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2898972|1980-11-25T19:56:48|-2.7166|128.329|33.0|ISC|ISC|ISC|636115|mb|4.9|ISC|CERAM SEA
2898968|1980-11-25T19:37:42|-2.383|140.0922|5.1|ISC|ISC|ISC|636114|mb|5.1|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2898273|1980-11-24T09:47:31|4.5324|96.6744|73.6|ISC|ISC|ISC|635998|mb|4.0|NEIS|NORTHERN SUMATRA, INDONESIA
2898207|1980-11-24T06:53:13|0.4598|123.9637|258.8|ISC|ISC|ISC|635986|mb|5.0|NEIS|MINAHASSA PENINSULA, SULAWESI
2897911|1980-11-23T20:27:41|-2.1219|139.0353|49.2|ISC|ISC|ISC|635937|mb|5.1|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2897907|1980-11-23T20:25:01|3.8473|125.5821|139.1|ISC|ISC|ISC|635936|mb|4.1|ISC|TALAUD ISLANDS, INDONESIA
2897745|1980-11-23T14:04:50|2.7158|125.8|114.1|ISC|ISC|ISC|635915|mb|5.2|NEIS|TALAUD ISLANDS, INDONESIA
2897731|1980-11-23T12:14:11|0.3633|125.9707|61.8|ISC|ISC|ISC|635913|mb|4.3|NEIS|NORTHERN MOLUCCA SEA
2897664|1980-11-23T08:02:43|7.3789|124.3253|35.0|ISC|ISC|ISC|635906|mb|3.7|NEIS|MINDANAO, PHILIPPINES
2897643|1980-11-23T05:32:50|2.744|128.5776|229.3|ISC|ISC|ISC|635902|mb|5.0|NEIS|HALMAHERA, INDONESIA
2897538|1980-11-22T18:02:33|-3.6086|140.0628|76.6|ISC|ISC|ISC|635883|mb|5.5|NEIS|IRIAN JAYA, INDONESIA
2897446|1980-11-22T12:26:08|-6.8876|130.6246|132.5|ISC|ISC|ISC|635868|mb|4.7|ISC|BANDA SEA
2897440|1980-11-22T12:21:52|-7.7284|127.5458|156.6|ISC|ISC|ISC|635867|mb|5.1|NEIS|BANDA SEA
2897311|1980-11-22T01:00:48|7.7764|126.9466|64.2|ISC|ISC|ISC|635843|mb|5.2|NEIS|MINDANAO, PHILIPPINES
2897107|1980-11-21T01:04:48|-11.4738|117.4539|33.0|ISC|ISC|ISC|635804|mb|4.9|NEIS|SOUTH OF SUMBAWA, INDONESIA
2896634|1980-11-19T20:33:10|-6.5403|131.5926|44.3|ISC|ISC|ISC|635743|mb|5.7|NEIS|TANIMBAR ISLANDS REG., INDONESIA
2896585|1980-11-19T16:20:35|0.0948|121.8459|172.0|ISC|ISC|ISC|635736|mb|4.3|NEIS|MINAHASSA PENINSULA, SULAWESI
2896470|1980-11-19T03:11:56|-2.9161|138.5066|50.8|ISC|ISC|ISC|635714|mb|4.7|NEIS|IRIAN JAYA, INDONESIA
2896385|1980-11-18T14:49:01|2.4579|128.7379|219.7|ISC|ISC|ISC|635698|mb|4.4|NEIS|HALMAHERA, INDONESIA
2896357|1980-11-18T13:25:19|-4.4339|101.947|82.5|ISC|ISC|ISC|635693|mb|4.0|ISC|SOUTHERN SUMATRA, INDONESIA
2896126|1980-11-17T17:02:58|-1.2442|136.4527|50.4|ISC|ISC|ISC|635654|mb|3.7|NEIS|IRIAN JAYA REGION, INDONESIA
2896019|1980-11-17T07:41:59|-6.2016|131.7265|33.0|ISC|ISC|ISC|635636|mb|4.6|NEIS|TANIMBAR ISLANDS REG., INDONESIA
2895960|1980-11-17T00:08:28|-1.8874|102.0373|228.0|ISC|ISC|ISC|635626|mb|4.5|ISC|SOUTHERN SUMATRA, INDONESIA
2895855|1980-11-16T10:11:11|-11.4836|119.3956|16.1|ISC|ISC|ISC|635602|mb|5.1|NEIS|SOUTH OF SUMBA, INDONESIA
2895783|1980-11-16T05:34:50|-11.551|116.8392|33.0|ISC|ISC|ISC|635588|mb|5.0|NEIS|SOUTH OF SUMBAWA, INDONESIA
2895778|1980-11-16T05:31:04|3.6526|126.4924|81.5|ISC|ISC|ISC|635587|mb|5.2|NEIS|TALAUD ISLANDS, INDONESIA
2895689|1980-11-15T22:05:23|3.4843|126.7051|42.4|ISC|ISC|ISC|635569|mb|5.6|NEIS|TALAUD ISLANDS, INDONESIA
2895564|1980-11-15T09:40:42|8.2795|126.2584|112.1|ISC|ISC|ISC|635545|mb|5.2|NEIS|MINDANAO, PHILIPPINES
2895491|1980-11-15T04:55:08|6.0615|127.3885|70.3|ISC|ISC|ISC|635532|mb|5.3|NEIS|PHILIPPINE ISLANDS REGION
2895385|1980-11-14T20:28:26|-11.556|118.1049|33.0|ISC|ISC|ISC|635514|mb|4.7|NEIS|SOUTH OF SUMBAWA, INDONESIA
2895018|1980-11-13T05:08:14|2.2984|128.6333|210.3|ISC|ISC|ISC|635448|mb|4.5|ISC|HALMAHERA, INDONESIA
2894588|1980-11-11T18:27:55|-7.797|118.7238|53.4|ISC|ISC|ISC|635367|mb|5.1|NEIS|FLORES SEA
2894566|1980-11-11T16:32:15|-3.9988|133.8274|33.0|ISC|ISC|ISC|635362|mb|4.1|NEIS|IRIAN JAYA REGION, INDONESIA
2894528|1980-11-11T12:10:02|-11.877|119.9788|33.0|ISC|ISC|ISC|635353|mb|3.7|NEIS|SOUTH OF SUMBA, INDONESIA
2894314|1980-11-10T23:25:11|-10.0321|119.0409|25.5|ISC|ISC|ISC|635316|mb|4.8|NEIS|SUMBA REGION, INDONESIA
2894212|1980-11-10T15:31:25|-11.8404|119.8779|33.0|ISC|ISC|ISC|635298|mb|4.0|NEIS|SOUTH OF SUMBA, INDONESIA
2893978|1980-11-09T16:14:09|5.494|126.7134|99.1|ISC|ISC|ISC|635250|mb|4.9|NEIS|MINDANAO, PHILIPPINES
2893924|1980-11-09T10:02:16|8.7408|126.2145|98.0|ISC|ISC|ISC|635238|mb|4.4|NEIS|MINDANAO, PHILIPPINES
2893841|1980-11-09T06:20:14|8.9621|126.5327|62.3|ISC|ISC|ISC|635224|mb|4.5|ISC|MINDANAO, PHILIPPINES
2893605|1980-11-08T17:29:57|1.5431|126.8469|148.0|ISC|ISC|ISC|635184|mb|4.6|ISC|NORTHERN MOLUCCA SEA
2893222|1980-11-08T05:25:05|-9.3448|119.0696|33.0|ISC|ISC|ISC|635123|mb|3.8|ISC|SUMBA REGION, INDONESIA
2893133|1980-11-07T20:33:33|2.4112|126.8078|33.0|ISC|ISC|ISC|635108|mb|4.5|ISC|NORTHERN MOLUCCA SEA
2893080|1980-11-07T16:51:56|-2.8255|122.1783|71.9|ISC|ISC|ISC|635099|mb|3.9|NEIS|SULAWESI, INDONESIA
2892796|1980-11-06T18:54:37|-11.5762|119.6937|33.0|ISC|ISC|ISC|635048|mb|4.0|NEIS|SOUTH OF SUMBA, INDONESIA
2892618|1980-11-05T20:51:20|-2.4268|122.1528|33.0|ISC|ISC|ISC|635016|mb|3.8|ISC|SULAWESI, INDONESIA
2892585|1980-11-05T18:51:56|-2.7409|122.1992|57.7|ISC|ISC|ISC|635010|mb|4.8|NEIS|SULAWESI, INDONESIA
2892562|1980-11-05T18:15:03|-2.7186|122.082|41.0|ISC|ISC|ISC|635007|mb|5.6|NEIS|SULAWESI, INDONESIA
2892409|1980-11-05T02:22:58|0.4853|125.1606|104.2|ISC|ISC|ISC|634978|mb|4.3|ISC|NORTHERN MOLUCCA SEA
2892327|1980-11-04T18:41:18|-4.4574|102.9771|91.8|ISC|ISC|ISC|634965|mb|5.1|NEIS|SOUTHERN SUMATRA, INDONESIA
2892296|1980-11-04T17:51:36|-9.4707|113.3279|33.0|ISC|ISC|ISC|634963|mb|4.8|ISC|SOUTH OF JAVA, INDONESIA
2892291|1980-11-04T17:39:02|-8.6461|123.6027|163.9|ISC|ISC|ISC|634962|mb|5.0|NEIS|FLORES REGION, INDONESIA
2891933|1980-11-03T11:21:05|-8.1141|108.8063|33.0|ISC|ISC|ISC|634898|mb|4.9|NEIS|JAVA, INDONESIA
2891591|1980-11-02T07:56:21|-7.4948|128.4407|188.3|ISC|ISC|ISC|634836|mb|5.2|NEIS|BANDA SEA
2891576|1980-11-02T04:52:51|-2.9818|139.3802|33.0|ISC|ISC|ISC|634834|mb|4.1|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2891471|1980-11-01T15:20:51|-5.8283|102.6776|51.6|ISC|ISC|ISC|634816|mb|4.5|ISC|SOUTHERN SUMATRA, INDONESIA
2891440|1980-11-01T12:32:57|8.8754|122.4862|37.1|ISC|ISC|ISC|634809|mb|4.7|NEIS|MINDANAO, PHILIPPINES
2891377|1980-11-01T05:26:18|3.8584|126.9163|33.0|ISC|ISC|ISC|634796|mb|4.6|ISC|TALAUD ISLANDS, INDONESIA
2900433|1980-10-31T13:56:25|-9.7265|112.6564|33.0|ISC|ISC|ISC|638077|mb|4.7|NEIS|SOUTH OF JAVA, INDONESIA
2900405|1980-10-31T08:09:07|-6.2018|130.3205|127.8|ISC|ISC|ISC|638063|mb|4.9|NEIS|BANDA SEA
2900281|1980-10-30T05:41:05|2.7412|128.372|120.9|ISC|ISC|ISC|638001|mb|5.1|NEIS|HALMAHERA, INDONESIA
2900272|1980-10-30T04:20:29|-6.4612|130.1612|155.0|ISC|ISC|ISC|637996|mb|4.7|NEIS|BANDA SEA
2900245|1980-10-29T18:45:15|8.439|93.345|51.1|ISC|ISC|ISC|637982|mb|5.2|NEIS|NICOBAR ISLANDS, INDIA REGION
2900097|1980-10-28T18:03:02|-11.7781|117.4584|33.0|ISC|ISC|ISC|637932|mb|5.4|ISC|SOUTH OF SUMBAWA, INDONESIA
2899892|1980-10-27T17:07:21|9.9366|126.4465|74.9|ISC|ISC|ISC|637858|mb|4.4|NEIS|MINDANAO, PHILIPPINES
2899889|1980-10-27T16:05:58|5.8812|126.184|103.4|ISC|ISC|ISC|637857|mb|5.2|NEIS|MINDANAO, PHILIPPINES
2899304|1980-10-26T00:35:50|-10.363|118.1707|33.0|ISC|ISC|ISC|637723|mb|4.8|NEIS|SOUTH OF SUMBAWA, INDONESIA
2898929|1980-10-25T10:48:31|-3.1194|129.9585|42.9|ISC|ISC|ISC|637662|mb|4.9|NEIS|SERAM, INDONESIA
2898410|1980-10-24T14:07:21|9.4287|126.6925|76.9|ISC|ISC|ISC|637579|mb|4.8|NEIS|MINDANAO, PHILIPPINES
2898140|1980-10-24T03:20:46|0.5109|123.7166|243.3|ISC|ISC|ISC|637543|mb|3.8|NEIS|MINAHASSA PENINSULA, SULAWESI
2898116|1980-10-24T01:11:55|9.9688|126.1605|77.2|ISC|ISC|ISC|637539|mb|4.7|NEIS|MINDANAO, PHILIPPINES
2898104|1980-10-23T23:10:41|-6.6349|129.6397|164.4|ISC|ISC|ISC|637535|mb|5.8|NEIS|BANDA SEA
2898035|1980-10-23T14:00:22|6.5078|117.9096|62.4|ISC|ISC|ISC|637520|mb|5.1|NEIS|BORNEO
2897698|1980-10-22T08:41:35|-5.0528|139.7181|33.0|ISC|ISC|ISC|637461|mb|4.7|NEIS|IRIAN JAYA, INDONESIA
2897557|1980-10-21T22:31:55|-8.7969|112.4342|98.5|ISC|ISC|ISC|637437|mb|4.9|NEIS|JAVA, INDONESIA
2897314|1980-10-21T01:19:45|-6.2642|129.807|212.5|ISC|ISC|ISC|637398|mb|5.0|NEIS|BANDA SEA
2896893|1980-10-19T12:59:46|3.0662|127.1459|84.8|ISC|ISC|ISC|637326|mb|4.3|ISC|TALAUD ISLANDS, INDONESIA
2896820|1980-10-19T05:43:00|6.0609|126.898|128.4|ISC|ISC|ISC|637312|mb|5.2|NEIS|MINDANAO, PHILIPPINES
2896746|1980-10-19T00:25:21|0.1431|123.5071|190.4|ISC|ISC|ISC|637297|mb|4.5|NEIS|MINAHASSA PENINSULA, SULAWESI
2896641|1980-10-18T13:27:13|0.3065|98.6829|56.1|ISC|ISC|ISC|637277|mb|4.1|ISC|NORTHERN SUMATRA, INDONESIA
2896577|1980-10-18T07:57:54|-3.385|137.7038|33.0|ISC|ISC|ISC|637266|mb|4.1|NEIS|IRIAN JAYA, INDONESIA
2896467|1980-10-18T01:32:17|6.1061|125.2|33.0|ISC|ISC|ISC|637249|mb|3.3|ISC|MINDANAO, PHILIPPINES
2896392|1980-10-17T20:50:27|1.9383|126.8847|33.0|ISC|ISC|ISC|637233|mb|5.0|NEIS|NORTHERN MOLUCCA SEA
2896128|1980-10-16T23:55:06|-6.1946|130.3485|91.2|ISC|ISC|ISC|637190|mb|4.7|NEIS|BANDA SEA
2895935|1980-10-16T06:18:19|6.3795|127.8071|33.0|ISC|ISC|ISC|637154|mb|5.5|ISC|PHILIPPINE ISLANDS REGION
2895688|1980-10-15T00:18:19|-2.8936|121.0193|132.0|ISC|ISC|ISC|637104|mb|4.0|NEIS|SULAWESI, INDONESIA
2895443|1980-10-14T05:36:00|3.7754|95.8948|71.0|ISC|ISC|ISC|637060|mb|4.5|ISC|OFF W COAST OF NORTHERN SUMATRA
2895190|1980-10-13T08:29:52|-6.5513|142.3721|33.0|ISC|ISC|ISC|637015|mb|3.5|NEIS|NEW GUINEA, PAPUA NEW GUINEA
2895149|1980-10-13T06:10:35|-10.6761|116.1766|33.0|ISC|ISC|ISC|637010|mb|3.3|NEIS|SOUTH OF SUMBAWA, INDONESIA
2895045|1980-10-12T22:21:15|0.0416|123.7071|176.4|ISC|ISC|ISC|636994|mb|4.9|NEIS|MINAHASSA PENINSULA, SULAWESI
2895036|1980-10-12T22:03:00|-3.0678|130.0944|33.0|ISC|ISC|ISC|636993|mb|4.6|ISC|SERAM, INDONESIA
2894905|1980-10-12T06:26:48|-5.5429|102.9883|49.7|ISC|ISC|ISC|636967|mb|4.8|NEIS|SOUTHERN SUMATRA, INDONESIA
2894851|1980-10-12T02:26:45|-1.27|120.3987|99.2|ISC|ISC|ISC|636959|mb|4.7|NEIS|SULAWESI, INDONESIA
2894799|1980-10-11T22:10:21|6.4957|126.7194|83.2|ISC|ISC|ISC|636951|mb|5.3|NEIS|MINDANAO, PHILIPPINES
2894642|1980-10-11T09:31:14|-3.0304|142.3712|40.3|ISC|ISC|ISC|636922|mb|4.7|ISC|NEAR N COAST OF NEW GUINEA, PNG.
2894260|1980-10-10T15:17:30|1.0844|126.0531|70.3|ISC|ISC|ISC|636868|mb|5.3|NEIS|NORTHERN MOLUCCA SEA
2894128|1980-10-10T11:53:49|-7.3915|129.3868|151.9|ISC|ISC|ISC|636853|mb|5.2|NEIS|BANDA SEA
2894029|1980-10-10T05:12:48|6.5515|127.0843|87.0|ISC|ISC|ISC|636843|mb|3.9|NEIS|PHILIPPINE ISLANDS REGION
2894013|1980-10-10T02:55:33|2.5216|132.2615|33.0|ISC|ISC|ISC|636840|mb|4.0|ISC|IRIAN JAYA REGION, INDONESIA
2893996|1980-10-10T01:30:56|-10.2306|124.9225|81.0|ISC|ISC|ISC|636837|mb|4.2|NEIS|TIMOR REGION
2893887|1980-10-09T15:14:08|-2.9747|142.1174|49.3|ISC|ISC|ISC|636817|mb|4.8|NEIS|NEAR N COAST OF NEW GUINEA, PNG.
2893745|1980-10-09T05:17:29|-5.3314|103.2654|83.0|ISC|ISC|ISC|636795|mb|4.8|NEIS|SOUTHERN SUMATRA, INDONESIA
2893595|1980-10-08T16:49:10|-4.9547|103.0929|61.7|ISC|ISC|ISC|636773|mb|4.8|NEIS|SOUTHERN SUMATRA, INDONESIA
2893569|1980-10-08T16:04:46|-5.3418|103.1239|43.5|ISC|ISC|ISC|636770|mb|5.8|NEIS|SOUTHERN SUMATRA, INDONESIA
2893525|1980-10-08T12:00:03|-5.4975|101.8282|33.0|ISC|ISC|ISC|636764|mb|4.0|ISC|SOUTHWEST OF SUMATRA, INDONESIA
2893487|1980-10-08T09:17:37|-0.016|123.33|174.9|ISC|ISC|ISC|636757|mb|5.5|NEIS|MINAHASSA PENINSULA, SULAWESI
2893374|1980-10-08T03:20:19|3.6079|93.7407|33.0|ISC|ISC|ISC|636740|mb|4.2|ISC|OFF W COAST OF NORTHERN SUMATRA
2893218|1980-10-07T08:49:11|-11.3831|117.6625|33.0|ISC|ISC|ISC|636710|mb|4.4|ISC|SOUTH OF SUMBAWA, INDONESIA
2893177|1980-10-07T00:08:35|-7.7679|107.6461|114.3|ISC|ISC|ISC|636700|mb|4.6|NEIS|JAVA, INDONESIA
2893132|1980-10-06T20:23:52|-3.3747|142.4067|33.0|ISC|ISC|ISC|636695|mb|4.9|ISC|NEAR N COAST OF NEW GUINEA, PNG.
