#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
412505|1994-12-31T11:06:01|2.4504|126.2366|96.5|ISC|ISC|ISC|138492|mb|5.2|NEIC|NORTHERN MOLUCCA SEA
411934|1994-12-30T21:28:48|-5.1389|103.4859|102.5|ISC|ISC|ISC|138335|mb|5.1|NEIC|SOUTHERN SUMATRA, INDONESIA
411000|1994-12-30T03:46:36|-9.6974|124.08|97.1|ISC|ISC|ISC|138088|mb|4.8|NEIC|TIMOR REGION
410811|1994-12-30T00:26:25|4.9749|126.264|68.8|ISC|ISC|ISC|138040|mb|4.6|ISC|TALAUD ISLANDS, INDONESIA
410453|1994-12-29T18:30:52|-4.4711|103.0825|33.0|ISC|ISC|ISC|137949|mb|4.8|ISC|SOUTHERN SUMATRA, INDONESIA
409659|1994-12-29T06:15:10|-8.5939|119.3808|141.1|ISC|ISC|ISC|137743|mb|4.2|NEIC|FLORES REGION, INDONESIA
409578|1994-12-29T04:33:52|-5.1663|102.6072|56.0|ISC|ISC|ISC|137720|mb|5.4|NEIC|SOUTHERN SUMATRA, INDONESIA
409154|1994-12-28T22:39:24|5.2348|126.3681|85.0|ISC|ISC|ISC|137613|mb|5.0|NEIC|MINDANAO, PHILIPPINES
408444|1994-12-28T16:30:15|-0.332|118.1779|33.0|ISC|ISC|ISC|137449|mb|4.3|ISC|MINAHASSA PENINSULA, SULAWESI
408253|1994-12-28T15:01:47|-10.5707|121.7259|68.9|ISC|ISC|ISC|137400|mb|5.1|NEIC|SAVU SEA
407738|1994-12-28T00:39:15|4.7257|94.9922|53.8|ISC|ISC|ISC|137285|mb|4.8|NEIC|OFF W COAST OF NORTHERN SUMATRA
407692|1994-12-27T21:59:48|4.3244|126.0002|161.8|ISC|ISC|ISC|137273|mb|4.9|NEIC|TALAUD ISLANDS, INDONESIA
407559|1994-12-27T16:43:01|1.0102|127.3192|178.0|ISC|ISC|ISC|137243|mb|4.5|NEIC|HALMAHERA, INDONESIA
407374|1994-12-27T10:41:49|9.9253|126.2418|69.6|ISC|ISC|ISC|137196|mb|4.2|ISC|MINDANAO, PHILIPPINES
407142|1994-12-27T02:53:21|4.3882|126.2552|33.0|ISC|ISC|ISC|137139|mb|4.7|ISC|TALAUD ISLANDS, INDONESIA
