#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
43932|1971-12-31T20:56:15|-9.6874|112.9533|49.9|ISC|ISC|ISC|778207||5.3|MOS|SOUTH OF JAVA, INDONESIA
41415|1971-12-28T22:42:47|4.4149|125.8716|129.1|ISC|ISC|ISC|778141|mb|5.3|NEIS|TALAUD ISLANDS, INDONESIA
40940|1971-12-28T12:45:58|9.0573|94.113|51.9|ISC|ISC|ISC|778128|mb|5.1|NEIS|NICOBAR ISLANDS, INDIA REGION
38094|1971-12-26T04:26:45|1.7952|128.1958|126.8|ISC|ISC|ISC|778063|mb|5.6|NEIS|HALMAHERA, INDONESIA
38040|1971-12-26T00:26:46|-6.5059|106.9565|145.8|ISC|ISC|ISC|778061|mb|5.5|NEIS|JAVA, INDONESIA
38018|1971-12-25T23:59:21|4.4822|125.0143|33.0|ISC|ISC|ISC|778060|mb|5.2|ISC|TALAUD ISLANDS, INDONESIA
37932|1971-12-25T17:52:23|-7.2726|128.0729|134.3|ISC|ISC|ISC|778055|mb|5.2|NEIS|BANDA SEA
36802|1971-12-23T19:58:22|-6.3385|130.3441|8.8|ISC|ISC|ISC|778005|mb|4.9|NEIS|BANDA SEA
36703|1971-12-23T16:58:02|1.5812|126.3811|70.0|ISC|ISC|ISC|778000|mb|5.1|NEIS|NORTHERN MOLUCCA SEA
36072|1971-12-22T12:09:32|-9.0988|127.1672|33.0|ISC|ISC|ISC|777972|mb|5.2|NEIS|TIMOR SEA
35691|1971-12-21T19:23:33|1.9078|99.2913|140.5|ISC|ISC|ISC|777957|mb|5.0|NEIS|NORTHERN SUMATRA, INDONESIA
33879|1971-12-19T05:33:32|-4.8633|102.6996|71.8|ISC|ISC|ISC|777888|mb|5.4|NEIS|SOUTHERN SUMATRA, INDONESIA
32760|1971-12-17T17:59:20|1.6066|99.7561|170.9|ISC|ISC|ISC|777844|mb|5.0|NEIS|NORTHERN SUMATRA, INDONESIA
32593|1971-12-17T09:08:07|-8.5593|112.2656|64.1|ISC|ISC|ISC|777836|mb|5.4|NEIS|JAVA, INDONESIA
32361|1971-12-17T03:56:09|6.2043|126.7258|96.1|ISC|ISC|ISC|777827|mb|5.1|ISC|MINDANAO, PHILIPPINES
31558|1971-12-16T02:03:45|-5.493|128.4987|297.6|ISC|ISC|ISC|777799|mb|5.0|NEIS|BANDA SEA
27870|1971-12-11T03:29:57|1.7295|127.2782|116.8|ISC|ISC|ISC|777656|mb|5.2|NEIS|HALMAHERA, INDONESIA
27439|1971-12-10T07:22:57|-7.3058|128.7795|125.1|ISC|ISC|ISC|777637|mb|5.4|NEIS|BANDA SEA
26264|1971-12-08T19:01:29|-7.2215|128.2174|184.7|ISC|ISC|ISC|777595|mb|5.1|NEIS|BANDA SEA
25671|1971-12-08T04:36:35|-2.8499|138.8695|72.8|ISC|ISC|ISC|777573|mb|5.1|NEIS|IRIAN JAYA, INDONESIA
25115|1971-12-07T06:23:11|3.7209|127.996|65.5|ISC|ISC|ISC|777551|mb|6.0|NEIS|TALAUD ISLANDS, INDONESIA
24818|1971-12-06T23:48:34|-3.2719|142.7553|35.5|ISC|ISC|ISC|777543|mb|5.1|NEIS|NEAR N COAST OF NEW GUINEA, PNG.
23505|1971-12-05T07:34:02|-3.2044|139.6475|61.9|ISC|ISC|ISC|777495|mb|5.1|NEIS|IRIAN JAYA, INDONESIA
22797|1971-12-04T15:55:45|8.0669|126.6137|57.9|ISC|ISC|ISC|777470|mb|5.5|NEIS|MINDANAO, PHILIPPINES
39014|1971-11-30T05:44:37|0.0837|123.2684|187.5|ISC|ISC|ISC|778927|mb|5.0|NEIS|MINAHASSA PENINSULA, SULAWESI
38050|1971-11-28T19:17:59|-7.7381|130.1968|33.0|ISC|ISC|ISC|778902|mb|4.6|NEIS|TANIMBAR ISLANDS REG., INDONESIA
37581|1971-11-27T23:37:23|-5.3846|130.9032|84.5|ISC|ISC|ISC|778881|mb|5.0|NEIS|BANDA SEA
36902|1971-11-26T14:19:57|1.4238|125.5909|31.7|ISC|ISC|ISC|778854|mb|5.3|NEIS|NORTHERN MOLUCCA SEA
34293|1971-11-22T18:54:05|1.8813|97.2929|51.6|ISC|ISC|ISC|778741|mb|5.1|NEIS|NORTHERN SUMATRA, INDONESIA
34064|1971-11-22T08:19:54|0.1057|123.9691|100.4|ISC|ISC|ISC|778732|mb|5.6|NEIS|MINAHASSA PENINSULA, SULAWESI
32752|1971-11-20T13:34:35|-3.0267|139.6445|56.7|ISC|ISC|ISC|778682|mb|4.6|NEIS|IRIAN JAYA, INDONESIA
27707|1971-11-11T11:16:55|-2.7945|136.5044|37.6|ISC|ISC|ISC|778478|mb|5.7|NEIS|IRIAN JAYA REGION, INDONESIA
25775|1971-11-08T22:43:01|5.7561|126.5211|174.0|ISC|ISC|ISC|778408|mb|5.7|NEIS|MINDANAO, PHILIPPINES
24526|1971-11-07T02:10:01|-9.569|122.8385|55.0|ISC|ISC|ISC|778362|mb|5.2|NEIS|SAVU SEA
23657|1971-11-05T23:57:29|-1.9157|100.22|45.0|ISC|ISC|ISC|778331|mb|5.0|NEIS|SOUTHERN SUMATRA, INDONESIA
21238|1971-11-02T08:34:47|-2.9508|139.4394|62.5|ISC|ISC|ISC|778248|mb|5.1|NEIS|NEAR NORTH COAST OF IRIAN JAYA
43502|1971-10-28T02:28:22|4.4809|126.4446|88.4|ISC|ISC|ISC|779709|mb|5.0|NEIS|TALAUD ISLANDS, INDONESIA
43420|1971-10-28T01:56:02|-3.2618|139.559|45.1|ISC|ISC|ISC|779707|mb|5.4|NEIS|IRIAN JAYA, INDONESIA
41954|1971-10-26T23:39:40|1.8786|126.4638|46.4|ISC|ISC|ISC|779670|mb|5.1|NEIS|NORTHERN MOLUCCA SEA
40982|1971-10-26T09:54:51|-7.3134|106.779|90.2|ISC|ISC|ISC|779650|mb|5.3|NEIS|JAVA, INDONESIA
40177|1971-10-25T17:20:05|2.0506|132.6471|14.8|ISC|ISC|ISC|779631|mb|5.2|NEIS|IRIAN JAYA REGION, INDONESIA
40104|1971-10-25T16:52:12|2.0017|132.6164|24.2|ISC|ISC|ISC|779630|mb|5.2|NEIS|IRIAN JAYA REGION, INDONESIA
37501|1971-10-23T20:38:36|-3.813|134.3734|33.0|ISC|ISC|ISC|779561|mb|5.6|NEIS|IRIAN JAYA REGION, INDONESIA
35014|1971-10-20T13:36:09|-3.3673|139.8407|33.0|ISC|ISC|ISC|779461|mb|5.4|NEIS|IRIAN JAYA, INDONESIA
34751|1971-10-20T01:20:44|-7.2605|128.9217|99.5|ISC|ISC|ISC|779451|mb|4.8|NEIS|BANDA SEA
33372|1971-10-17T18:05:21|-4.9445|102.6744|26.5|ISC|ISC|ISC|779394|mb|5.5|NEIS|SOUTHERN SUMATRA, INDONESIA
32936|1971-10-16T21:54:27|-3.4164|127.1432|60.0|ISC|ISC|ISC|779376|mb|5.5|NEIS|SERAM, INDONESIA
32687|1971-10-16T08:52:33|2.803|132.7992|30.5|ISC|ISC|ISC|779365||4.9|MOS|IRIAN JAYA REGION, INDONESIA
31786|1971-10-15T03:39:53|-2.2294|102.1941|184.8|ISC|ISC|ISC|779331|mb|4.7|NEIS|SOUTHERN SUMATRA, INDONESIA
30649|1971-10-13T11:50:34|2.8512|132.7813|33.0|ISC|ISC|ISC|779285|mb|5.3|NEIS|IRIAN JAYA REGION, INDONESIA
30542|1971-10-13T09:31:01|2.9077|132.8926|47.2|ISC|ISC|ISC|779282|mb|5.3|NEIS|IRIAN JAYA REGION, INDONESIA
25973|1971-10-07T10:51:21|1.4462|126.2878|25.0|ISC|ISC|ISC|779123|mb|5.1|NEIS|NORTHERN MOLUCCA SEA
25091|1971-10-06T02:19:33|1.1241|127.0222|65.1|ISC|ISC|ISC|779094||5.3|MOS|HALMAHERA, INDONESIA
48492|1971-09-30T11:15:52|-5.57|131.2815|17.7|ISC|ISC|ISC|780737|mb|5.3|NEIS|BANDA SEA
47468|1971-09-29T13:50:02|-2.898|142.0441|16.0|ISC|ISC|ISC|780708|mb|5.5|NEIS|NEAR N COAST OF NEW GUINEA, PNG.
46753|1971-09-28T14:04:40|3.6303|125.9242|148.1|ISC|ISC|ISC|780689|mb|5.9|NEIS|TALAUD ISLANDS, INDONESIA
44544|1971-09-26T16:33:04|-0.0182|124.8378|69.6|ISC|ISC|ISC|780632|mb|5.8|NEIS|SOUTHERN MOLUCCA SEA
44376|1971-09-26T15:25:21|3.2169|125.8525|74.0|ISC|ISC|ISC|780629|mb|5.3|NEIS|TALAUD ISLANDS, INDONESIA
43943|1971-09-26T03:20:07|5.8329|126.3996|118.1|ISC|ISC|ISC|780619|mb|5.3|NEIS|MINDANAO, PHILIPPINES
