#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
72662|1972-12-31T21:45:40|-3.3542|134.3741|36.2|ISC|ISC|ISC|766874|mb|5.0|NEIS|IRIAN JAYA REGION, INDONESIA
72591|1972-12-31T19:53:39|-3.2092|134.3966|26.6|ISC|ISC|ISC|766870|mb|5.1|NEIS|IRIAN JAYA REGION, INDONESIA
72319|1972-12-30T23:26:46|-3.1809|101.7967|77.2|ISC|ISC|ISC|766851|mb|4.7|NEIS|SOUTHERN SUMATRA, INDONESIA
72240|1972-12-30T17:29:12|6.1434|127.1331|48.0|ISC|ISC|ISC|766846|mb|4.7|NEIS|PHILIPPINE ISLANDS REGION
72098|1972-12-30T07:11:16|5.5872|127.2119|64.8|ISC|ISC|ISC|766836|mb|4.7|NEIS|PHILIPPINE ISLANDS REGION
71876|1972-12-29T19:48:59|-3.5506|135.3542|33.0|ISC|ISC|ISC|766823|mb|5.3|NEIS|IRIAN JAYA REGION, INDONESIA
71740|1972-12-29T12:29:26|5.3739|126.5096|64.0|ISC|ISC|ISC|766815|mb|4.5|NEIS|MINDANAO, PHILIPPINES
71667|1972-12-29T10:49:59|-0.9192|126.8111|15.9|ISC|ISC|ISC|766810|mb|5.3|NEIS|SOUTHERN MOLUCCA SEA
71060|1972-12-28T12:13:36|5.8478|127.0165|67.8|ISC|ISC|ISC|766770|mb|4.5|NEIS|PHILIPPINE ISLANDS REGION
70930|1972-12-28T05:54:09|5.61|127.1003|56.7|ISC|ISC|ISC|766762|mb|5.8|NEIS|PHILIPPINE ISLANDS REGION
70517|1972-12-27T09:59:58|-2.3444|138.8783|21.7|ISC|ISC|ISC|766737|mb|5.1|NEIS|IRIAN JAYA, INDONESIA
70455|1972-12-27T07:30:34|-2.5337|138.7901|26.3|ISC|ISC|ISC|766734|mb|5.4|NEIS|IRIAN JAYA, INDONESIA
70229|1972-12-26T21:04:41|5.1984|127.4823|165.8|ISC|ISC|ISC|766716|mb|4.9|NEIS|PHILIPPINE ISLANDS REGION
69559|1972-12-25T17:56:11|0.3982|126.2177|80.0|ISC|ISC|ISC|766669|mb|4.9|NEIS|NORTHERN MOLUCCA SEA
67280|1972-12-22T08:55:14|-7.5052|127.8338|139.3|ISC|ISC|ISC|766523|mb|6.0|NEIS|BANDA SEA
66154|1972-12-20T22:42:53|8.5226|125.9568|74.1|ISC|ISC|ISC|766458|mb|5.3|NEIS|MINDANAO, PHILIPPINES
65832|1972-12-20T15:25:55|5.7448|127.1151|74.9|ISC|ISC|ISC|766441|mb|4.7|NEIS|PHILIPPINE ISLANDS REGION
65514|1972-12-20T08:03:28|-4.7206|140.0889|13.4|ISC|ISC|ISC|766421|mb|5.4|NEIS|IRIAN JAYA, INDONESIA
65075|1972-12-19T19:40:20|6.7881|126.8889|73.0|ISC|ISC|ISC|766398|mb|4.9|NEIS|MINDANAO, PHILIPPINES
65002|1972-12-19T18:48:50|5.6342|126.6588|52.4|ISC|ISC|ISC|766395|mb|4.4|NEIS|MINDANAO, PHILIPPINES
64950|1972-12-19T17:15:23|5.9627|126.8602|80.7|ISC|ISC|ISC|766392|mb|4.4|NEIS|MINDANAO, PHILIPPINES
64863|1972-12-19T15:22:29|6.1412|126.9811|66.2|ISC|ISC|ISC|766387|mb|5.0|NEIS|MINDANAO, PHILIPPINES
64843|1972-12-19T15:21:06|6.0777|126.8957|70.5|ISC|ISC|ISC|766386|mb|4.4|NEIS|MINDANAO, PHILIPPINES
64806|1972-12-19T14:37:17|-9.8227|122.19|7.0|ISC|ISC|ISC|766384|mb|5.0|NEIS|SAVU SEA
63729|1972-12-18T13:57:04|-1.759|99.771|33.5|ISC|ISC|ISC|766341|mb|5.6|NEIS|SOUTHERN SUMATRA, INDONESIA
63384|1972-12-18T10:03:04|6.4871|126.4586|33.0|ISC|ISC|ISC|766325|mb|5.1|NEIS|MINDANAO, PHILIPPINES
63172|1972-12-18T07:17:20|-9.5285|123.2438|21.0|ISC|ISC|ISC|766315|mb|5.0|NEIS|TIMOR REGION
63074|1972-12-18T06:33:02|7.069|126.9233|72.2|ISC|ISC|ISC|766311|mb|4.9|NEIS|MINDANAO, PHILIPPINES
62125|1972-12-17T03:15:36|5.4199|126.3151|147.8|ISC|ISC|ISC|766246|mb|5.1|NEIS|MINDANAO, PHILIPPINES
61924|1972-12-17T00:12:10|6.0722|127.4485|58.2|ISC|ISC|ISC|766232|mb|5.4|NEIS|PHILIPPINE ISLANDS REGION
61900|1972-12-16T23:48:28|5.4791|126.4539|84.6|ISC|ISC|ISC|766230|mb|5.0|NEIS|MINDANAO, PHILIPPINES
61403|1972-12-15T15:45:46|5.6913|127.0905|89.2|ISC|ISC|ISC|766194|MB|5.0|MOS|PHILIPPINE ISLANDS REGION
61283|1972-12-15T09:19:33|6.3529|127.1268|79.5|ISC|ISC|ISC|766184|mb|4.3|NEIS|PHILIPPINE ISLANDS REGION
61261|1972-12-15T08:17:18|6.4229|127.1224|56.1|ISC|ISC|ISC|766182|mb|4.8|NEIS|PHILIPPINE ISLANDS REGION
61155|1972-12-15T04:49:32|-6.7184|101.5714|33.0|ISC|ISC|ISC|766176|mb|4.7|NEIS|SOUTHWEST OF SUMATRA, INDONESIA
60778|1972-12-14T11:20:46|5.62|126.5958|78.7|ISC|ISC|ISC|766150|mb|4.7|NEIS|MINDANAO, PHILIPPINES
60507|1972-12-13T22:51:46|9.8069|122.5626|128.4|ISC|ISC|ISC|766132|mb|5.2|NEIS|NEGROS, PHILIPPINES
59896|1972-12-13T02:38:03|5.3733|126.6528|83.9|ISC|ISC|ISC|766097|mb|4.6|NEIS|MINDANAO, PHILIPPINES
59650|1972-12-12T18:00:41|6.6402|126.5133|36.2|ISC|ISC|ISC|766081|mb|5.4|NEIS|MINDANAO, PHILIPPINES
59618|1972-12-12T17:46:48|6.6037|126.4387|3.0|ISC|ISC|ISC|766079|mb|5.3|NEIS|MINDANAO, PHILIPPINES
59569|1972-12-12T16:45:47|-1.8412|99.6339|59.1|ISC|ISC|ISC|766076|mb|4.6|NEIS|SOUTHERN SUMATRA, INDONESIA
59080|1972-12-12T04:54:36|6.2967|127.0065|53.3|ISC|ISC|ISC|766054|mb|5.1|NEIS|PHILIPPINE ISLANDS REGION
58834|1972-12-11T23:21:28|0.0209|123.9657|181.1|ISC|ISC|ISC|766042|mb|4.9|NEIS|MINAHASSA PENINSULA, SULAWESI
58268|1972-12-11T11:17:52|5.4901|126.6011|76.5|ISC|ISC|ISC|766015|mb|4.2|NEIS|MINDANAO, PHILIPPINES
